SPD,IMPUTATION REVISED GENDER,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,247161000,42554,1827000
0 - No,Overall,0.888,0.0021,0.884,0.892,1,0,N/A,N/A,0.888,0.0021,0.884,0.892,219428000,35934,1782000
1 - Yes,Overall,0.112,0.0021,0.108,0.116,1,0,N/A,N/A,0.112,0.0021,0.108,0.116,27732000,6620,522000
Overall,1 - Male,0.483,0.003,0.477,0.489,0.483,0.003,0.477,0.489,1,0,N/A,N/A,119287000,19987,1140000
0 - No,1 - Male,0.441,0.0032,0.434,0.447,0.496,0.0035,0.489,0.503,0.913,0.0028,0.907,0.919,108915000,17613,1176000
1 - Yes,1 - Male,0.042,0.0013,0.039,0.045,0.374,0.0085,0.357,0.391,0.087,0.0028,0.081,0.093,10373000,2374,322000
Overall,2 - Female,0.517,0.003,0.511,0.523,0.517,0.003,0.511,0.523,1,0,N/A,N/A,127873000,22567,1209000
0 - No,2 - Female,0.447,0.0033,0.44,0.454,0.504,0.0035,0.497,0.511,0.864,0.003,0.858,0.87,110514000,18321,1179000
1 - Yes,2 - Female,0.07,0.0015,0.067,0.073,0.626,0.0085,0.609,0.643,0.136,0.003,0.13,0.142,17359000,4246,383000
