SPD,IMPUTATION REVISED GENDER,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,251929000,27170,3588000
0 - No,Overall,0.871,0.0033,0.864,0.878,1,0,N/A,N/A,0.871,0.0033,0.864,0.878,219499000,22215,3473000
1 - Yes,Overall,0.129,0.0033,0.122,0.136,1,0,N/A,N/A,0.129,0.0033,0.122,0.136,32430000,4955,825000
Overall,1 - Male,0.483,0.0053,0.472,0.494,0.483,0.0053,0.472,0.494,1,0,N/A,N/A,121667000,12185,2203000
0 - No,1 - Male,0.434,0.0052,0.424,0.445,0.499,0.0056,0.487,0.51,0.899,0.005,0.889,0.909,109427000,10554,2120000
1 - Yes,1 - Male,0.049,0.0025,0.044,0.054,0.377,0.0145,0.349,0.407,0.101,0.005,0.091,0.111,12240000,1631,630000
Overall,2 - Female,0.517,0.0053,0.506,0.528,0.517,0.0053,0.506,0.528,1,0,N/A,N/A,130262000,14985,2260000
0 - No,2 - Female,0.437,0.0051,0.427,0.447,0.501,0.0056,0.49,0.513,0.845,0.0045,0.836,0.854,110072000,11661,2138000
1 - Yes,2 - Female,0.08,0.0024,0.075,0.085,0.623,0.0145,0.593,0.651,0.155,0.0045,0.146,0.164,20190000,3324,593000
