SPD,IMPUTATION REVISED GENDER,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,248857000,43026,1797000
0 - No,Overall,0.885,0.002,0.881,0.889,1,0,N/A,N/A,0.885,0.002,0.881,0.889,220274000,36207,1744000
1 - Yes,Overall,0.115,0.002,0.111,0.119,1,0,N/A,N/A,0.115,0.002,0.111,0.119,28584000,6819,509000
Overall,1 - Male,0.483,0.0037,0.475,0.49,0.483,0.0037,0.475,0.49,1,0,N/A,N/A,120136000,20169,1242000
0 - No,1 - Male,0.439,0.0034,0.432,0.445,0.495,0.0039,0.488,0.503,0.908,0.0024,0.904,0.913,109136000,17638,1134000
1 - Yes,1 - Male,0.044,0.0012,0.042,0.047,0.385,0.0084,0.368,0.402,0.092,0.0024,0.087,0.096,10999000,2531,317000
Overall,2 - Female,0.517,0.0037,0.51,0.525,0.517,0.0037,0.51,0.525,1,0,N/A,N/A,128722000,22857,1335000
0 - No,2 - Female,0.447,0.0038,0.439,0.454,0.505,0.0039,0.497,0.512,0.863,0.0031,0.857,0.869,111137000,18569,1318000
1 - Yes,2 - Female,0.071,0.0016,0.068,0.074,0.615,0.0084,0.598,0.632,0.137,0.0031,0.131,0.143,17584000,4288,386000
