SPD,IMPUTATION REVISED GENDER,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,224923000,37504,2436000
0 - No,Overall,0.894,0.0026,0.888,0.899,1,0,N/A,N/A,0.894,0.0026,0.888,0.899,200990000,32038,2220000
1 - Yes,Overall,0.106,0.0026,0.101,0.112,1,0,N/A,N/A,0.106,0.0026,0.101,0.112,23933000,5466,656000
Overall,1 - Male,0.483,0.0047,0.473,0.492,0.483,0.0047,0.473,0.492,1,0,N/A,N/A,108553000,17440,1483000
0 - No,1 - Male,0.444,0.0049,0.434,0.454,0.497,0.005,0.487,0.507,0.921,0.0034,0.914,0.927,99936000,15533,1420000
1 - Yes,1 - Male,0.038,0.0016,0.035,0.042,0.36,0.0127,0.335,0.386,0.079,0.0034,0.073,0.086,8617000,1907,381000
Overall,2 - Female,0.517,0.0047,0.508,0.527,0.517,0.0047,0.508,0.527,1,0,N/A,N/A,116370000,20064,1749000
0 - No,2 - Female,0.449,0.0043,0.441,0.458,0.503,0.005,0.493,0.513,0.868,0.004,0.86,0.876,101054000,16505,1569000
1 - Yes,2 - Female,0.068,0.0022,0.064,0.073,0.64,0.0127,0.614,0.665,0.132,0.004,0.124,0.14,15316000,3559,523000
