SPD,IMPUTATION REVISED GENDER,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,244534000,42625,2106000
0 - No,Overall,0.892,0.002,0.888,0.896,1,0,N/A,N/A,0.892,0.002,0.888,0.896,218150000,36402,1904000
1 - Yes,Overall,0.108,0.002,0.104,0.112,1,0,N/A,N/A,0.108,0.002,0.104,0.112,26383000,6223,560000
Overall,1 - Male,0.482,0.0034,0.475,0.489,0.482,0.0034,0.475,0.489,1,0,N/A,N/A,117930000,19853,1329000
0 - No,1 - Male,0.441,0.003,0.435,0.447,0.494,0.0036,0.487,0.501,0.914,0.0026,0.908,0.919,107752000,17601,1188000
1 - Yes,1 - Male,0.042,0.0013,0.039,0.044,0.386,0.0101,0.366,0.406,0.086,0.0026,0.081,0.092,10178000,2252,345000
Overall,2 - Female,0.518,0.0034,0.511,0.525,0.518,0.0034,0.511,0.525,1,0,N/A,N/A,126604000,22772,1356000
0 - No,2 - Female,0.451,0.0036,0.444,0.459,0.506,0.0036,0.499,0.513,0.872,0.0032,0.865,0.878,110398000,18801,1272000
1 - Yes,2 - Female,0.066,0.0016,0.063,0.07,0.614,0.0101,0.594,0.634,0.128,0.0032,0.122,0.135,16205000,3971,433000
