SPD,IMPUTATION REVISED GENDER,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,256282000,47100,4678000
0 - No,Overall,0.852,0.0027,0.847,0.858,1,0,N/A,N/A,0.852,0.0027,0.847,0.858,218428000,37773,3973000
1 - Yes,Overall,0.148,0.0027,0.142,0.153,1,0,N/A,N/A,0.148,0.0027,0.142,0.153,37854000,9327,1030000
Overall,1 - Male,0.488,0.0044,0.479,0.497,0.488,0.0044,0.479,0.497,1,0,N/A,N/A,125081000,20852,2469000
0 - No,1 - Male,0.427,0.0041,0.419,0.435,0.501,0.0048,0.491,0.51,0.874,0.0033,0.868,0.881,109373000,17549,2125000
1 - Yes,1 - Male,0.061,0.0017,0.058,0.065,0.415,0.0093,0.396,0.434,0.126,0.0033,0.119,0.132,15708000,3303,556000
Overall,2 - Female,0.512,0.0044,0.503,0.521,0.512,0.0044,0.503,0.521,1,0,N/A,N/A,131200000,26248,2720000
0 - No,2 - Female,0.426,0.0045,0.417,0.435,0.499,0.0048,0.49,0.509,0.831,0.0042,0.823,0.839,109054000,20224,2355000
1 - Yes,2 - Female,0.086,0.0022,0.082,0.091,0.585,0.0093,0.566,0.604,0.169,0.0042,0.161,0.177,22146000,6024,695000
