SPD,IMPUTATION REVISED GENDER,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,250316000,42739,2660000
0 - No,Overall,0.875,0.0027,0.87,0.881,1,0,N/A,N/A,0.875,0.0027,0.87,0.881,219131000,35075,2343000
1 - Yes,Overall,0.125,0.0027,0.119,0.13,1,0,N/A,N/A,0.125,0.0027,0.119,0.13,31185000,7664,783000
Overall,1 - Male,0.483,0.0036,0.476,0.49,0.483,0.0036,0.476,0.49,1,0,N/A,N/A,120862000,19932,1515000
0 - No,1 - Male,0.434,0.0033,0.428,0.441,0.496,0.0036,0.489,0.503,0.9,0.0029,0.894,0.905,108736000,17124,1406000
1 - Yes,1 - Male,0.048,0.0015,0.046,0.052,0.389,0.0096,0.37,0.408,0.1,0.0029,0.095,0.106,12126000,2808,378000
Overall,2 - Female,0.517,0.0036,0.51,0.524,0.517,0.0036,0.51,0.524,1,0,N/A,N/A,129455000,22807,1700000
0 - No,2 - Female,0.441,0.0035,0.434,0.448,0.504,0.0036,0.497,0.511,0.853,0.0039,0.845,0.86,110396000,17951,1416000
1 - Yes,2 - Female,0.076,0.0021,0.072,0.081,0.611,0.0096,0.592,0.63,0.147,0.0039,0.14,0.155,19059000,4856,618000
