SPD,IMPUTATION REVISED GENDER,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,240248000,41671,2009000
0 - No,Overall,0.894,0.0019,0.89,0.898,1,0,N/A,N/A,0.894,0.0019,0.89,0.898,214768000,35975,1946000
1 - Yes,Overall,0.106,0.0019,0.102,0.11,1,0,N/A,N/A,0.106,0.0019,0.102,0.11,25480000,5696,471000
Overall,1 - Male,0.482,0.0031,0.476,0.488,0.482,0.0031,0.476,0.488,1,0,N/A,N/A,115741000,19412,1278000
0 - No,1 - Male,0.442,0.0032,0.436,0.448,0.494,0.0034,0.488,0.501,0.917,0.0025,0.912,0.922,106180000,17413,1253000
1 - Yes,1 - Male,0.04,0.0012,0.037,0.042,0.375,0.0093,0.357,0.394,0.083,0.0025,0.078,0.088,9561000,1999,296000
Overall,2 - Female,0.518,0.0031,0.512,0.524,0.518,0.0031,0.512,0.524,1,0,N/A,N/A,124507000,22259,1205000
0 - No,2 - Female,0.452,0.0032,0.446,0.458,0.506,0.0034,0.499,0.512,0.872,0.003,0.866,0.878,108588000,18562,1176000
1 - Yes,2 - Female,0.066,0.0016,0.063,0.069,0.625,0.0093,0.606,0.643,0.128,0.003,0.122,0.134,15919000,3697,376000
