SPD,IMPUTATION REVISED GENDER,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,215256000,37302,2300000
0 - No,Overall,0.901,0.0029,0.895,0.907,1,0,N/A,N/A,0.901,0.0029,0.895,0.907,194032000,32720,2162000
1 - Yes,Overall,0.099,0.0029,0.093,0.105,1,0,N/A,N/A,0.099,0.0029,0.093,0.105,21224000,4582,675000
Overall,1 - Male,0.481,0.0041,0.473,0.489,0.481,0.0041,0.473,0.489,1,0,N/A,N/A,103560000,17377,1316000
0 - No,1 - Male,0.447,0.0039,0.439,0.455,0.496,0.0044,0.487,0.505,0.929,0.0032,0.922,0.935,96170000,15830,1244000
1 - Yes,1 - Male,0.034,0.0016,0.031,0.038,0.348,0.0114,0.326,0.371,0.071,0.0032,0.065,0.078,7390000,1547,348000
Overall,2 - Female,0.519,0.0041,0.511,0.527,0.519,0.0041,0.511,0.527,1,0,N/A,N/A,111695000,19925,1570000
0 - No,2 - Female,0.455,0.0046,0.445,0.464,0.504,0.0044,0.495,0.513,0.876,0.0042,0.867,0.884,97861000,16890,1510000
1 - Yes,2 - Female,0.064,0.0021,0.06,0.069,0.652,0.0114,0.629,0.674,0.124,0.0042,0.116,0.133,13834000,3035,487000
