SPD,IMPUTATION REVISED GENDER,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,237499000,37424,2447000
0 - No,Overall,0.892,0.0025,0.887,0.897,1,0,N/A,N/A,0.892,0.0025,0.887,0.897,211883000,31814,2349000
1 - Yes,Overall,0.108,0.0025,0.103,0.113,1,0,N/A,N/A,0.108,0.0025,0.103,0.113,25615000,5610,621000
Overall,1 - Male,0.482,0.0043,0.473,0.49,0.482,0.0043,0.473,0.49,1,0,N/A,N/A,114412000,17212,1638000
0 - No,1 - Male,0.442,0.0047,0.432,0.451,0.495,0.0048,0.486,0.505,0.917,0.0031,0.911,0.923,104918000,15233,1630000
1 - Yes,1 - Male,0.04,0.0014,0.037,0.043,0.371,0.0113,0.348,0.394,0.083,0.0031,0.077,0.089,9495000,1979,351000
Overall,2 - Female,0.518,0.0043,0.51,0.527,0.518,0.0043,0.51,0.527,1,0,N/A,N/A,123087000,20212,1551000
0 - No,2 - Female,0.45,0.0042,0.442,0.459,0.505,0.0048,0.495,0.514,0.869,0.0039,0.861,0.877,106966000,16581,1464000
1 - Yes,2 - Female,0.068,0.0021,0.064,0.072,0.629,0.0113,0.606,0.652,0.131,0.0039,0.123,0.139,16121000,3631,510000
