SPD,IMPUTATION REVISED GENDER,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,235124000,37869,2406000
0 - No,Overall,0.892,0.0023,0.887,0.896,1,0,N/A,N/A,0.892,0.0023,0.887,0.896,209674000,32156,2254000
1 - Yes,Overall,0.108,0.0023,0.104,0.113,1,0,N/A,N/A,0.108,0.0023,0.104,0.113,25450000,5713,574000
Overall,1 - Male,0.481,0.0044,0.473,0.49,0.481,0.0044,0.473,0.49,1,0,N/A,N/A,113155000,17756,1595000
0 - No,1 - Male,0.438,0.0043,0.43,0.447,0.491,0.0047,0.482,0.501,0.91,0.0032,0.904,0.916,102999000,15614,1529000
1 - Yes,1 - Male,0.043,0.0016,0.04,0.046,0.399,0.0113,0.377,0.422,0.09,0.0032,0.084,0.096,10157000,2142,371000
Overall,2 - Female,0.519,0.0044,0.51,0.527,0.519,0.0044,0.51,0.527,1,0,N/A,N/A,121969000,20113,1563000
0 - No,2 - Female,0.454,0.0045,0.445,0.463,0.509,0.0047,0.499,0.518,0.875,0.0035,0.868,0.881,106675000,16542,1475000
1 - Yes,2 - Female,0.065,0.0018,0.062,0.069,0.601,0.0113,0.578,0.623,0.125,0.0035,0.119,0.132,15294000,3571,445000
