SPD,IMPUTATION REVISED GENDER,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,217865000,37227,2076000
0 - No,Overall,0.897,0.0023,0.892,0.902,1,0,N/A,N/A,0.897,0.0023,0.892,0.902,195436000,31729,2049000
1 - Yes,Overall,0.103,0.0023,0.098,0.108,1,0,N/A,N/A,0.103,0.0023,0.098,0.108,22429000,5498,489000
Overall,1 - Male,0.482,0.0051,0.472,0.492,0.482,0.0051,0.472,0.492,1,0,N/A,N/A,104973000,17114,1638000
0 - No,1 - Male,0.445,0.005,0.435,0.455,0.496,0.0055,0.485,0.507,0.924,0.0029,0.918,0.93,96999000,15237,1556000
1 - Yes,1 - Male,0.037,0.0014,0.034,0.04,0.355,0.0121,0.332,0.38,0.076,0.0029,0.07,0.082,7974000,1877,326000
Overall,2 - Female,0.518,0.0051,0.508,0.528,0.518,0.0051,0.508,0.528,1,0,N/A,N/A,112893000,20113,1383000
0 - No,2 - Female,0.452,0.0051,0.442,0.462,0.504,0.0055,0.493,0.515,0.872,0.0038,0.864,0.879,98437000,16492,1411000
1 - Yes,2 - Female,0.066,0.002,0.062,0.07,0.645,0.0121,0.62,0.668,0.128,0.0038,0.121,0.136,14456000,3621,410000
