SPD,IMPUTATION REVISED GENDER,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,222604000,37427,2326000
0 - No,Overall,0.897,0.0023,0.892,0.902,1,0,N/A,N/A,0.897,0.0023,0.892,0.902,199682000,32031,2233000
1 - Yes,Overall,0.103,0.0023,0.098,0.108,1,0,N/A,N/A,0.103,0.0023,0.098,0.108,22923000,5396,531000
Overall,1 - Male,0.482,0.0042,0.474,0.491,0.482,0.0042,0.474,0.491,1,0,N/A,N/A,107374000,17413,1505000
0 - No,1 - Male,0.444,0.0044,0.436,0.453,0.495,0.0046,0.486,0.505,0.921,0.0036,0.914,0.928,98935000,15530,1510000
1 - Yes,1 - Male,0.038,0.0017,0.035,0.042,0.368,0.0127,0.343,0.394,0.079,0.0036,0.072,0.086,8439000,1883,379000
Overall,2 - Female,0.518,0.0042,0.509,0.526,0.518,0.0042,0.509,0.526,1,0,N/A,N/A,115230000,20014,1487000
0 - No,2 - Female,0.453,0.0042,0.444,0.461,0.505,0.0046,0.495,0.514,0.874,0.0032,0.868,0.881,100746000,16501,1370000
1 - Yes,2 - Female,0.065,0.0017,0.062,0.069,0.632,0.0127,0.606,0.657,0.126,0.0032,0.119,0.132,14484000,3513,404000
