SPD,IMPUTATION REVISED GENDER,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,242801000,43561,2375000
0 - No,Overall,0.895,0.0019,0.891,0.899,1,0,N/A,N/A,0.895,0.0019,0.891,0.899,217375000,37400,2288000
1 - Yes,Overall,0.105,0.0019,0.101,0.109,1,0,N/A,N/A,0.105,0.0019,0.101,0.109,25426000,6161,473000
Overall,1 - Male,0.482,0.0038,0.475,0.49,0.482,0.0038,0.475,0.49,1,0,N/A,N/A,117048000,19828,1607000
0 - No,1 - Male,0.443,0.0038,0.435,0.451,0.495,0.0041,0.487,0.503,0.919,0.0023,0.914,0.924,107583000,17660,1531000
1 - Yes,1 - Male,0.039,0.0011,0.037,0.041,0.372,0.0069,0.358,0.386,0.081,0.0023,0.076,0.086,9465000,2168,286000
Overall,2 - Female,0.518,0.0038,0.51,0.525,0.518,0.0038,0.51,0.525,1,0,N/A,N/A,125753000,23733,1371000
0 - No,2 - Female,0.452,0.0037,0.445,0.46,0.505,0.0041,0.497,0.513,0.873,0.0025,0.868,0.878,109792000,19740,1349000
1 - Yes,2 - Female,0.066,0.0013,0.063,0.068,0.628,0.0069,0.614,0.642,0.127,0.0025,0.122,0.132,15961000,3993,294000
