SPD,IMPUTATION REVISED GENDER,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,229273000,38919,2666000
0 - No,Overall,0.896,0.0025,0.891,0.9,1,0,N/A,N/A,0.896,0.0025,0.891,0.9,205318000,33165,2563000
1 - Yes,Overall,0.104,0.0025,0.1,0.109,1,0,N/A,N/A,0.104,0.0025,0.1,0.109,23954000,5754,574000
Overall,1 - Male,0.484,0.0046,0.475,0.493,0.484,0.0046,0.475,0.493,1,0,N/A,N/A,110969000,18183,1674000
0 - No,1 - Male,0.444,0.0042,0.436,0.452,0.496,0.0049,0.486,0.505,0.917,0.0029,0.911,0.923,101793000,16133,1554000
1 - Yes,1 - Male,0.04,0.0015,0.037,0.043,0.383,0.0125,0.358,0.408,0.083,0.0029,0.077,0.089,9177000,2050,354000
Overall,2 - Female,0.516,0.0046,0.507,0.525,0.516,0.0046,0.507,0.525,1,0,N/A,N/A,118303000,20736,1718000
0 - No,2 - Female,0.452,0.0048,0.442,0.461,0.504,0.0049,0.495,0.514,0.875,0.0042,0.867,0.883,103526000,17032,1692000
1 - Yes,2 - Female,0.064,0.0021,0.06,0.069,0.617,0.0125,0.592,0.642,0.125,0.0042,0.117,0.133,14777000,3704,486000
