SPD,IMPUTATION REVISED GENDER,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,227207000,37707,2610000
0 - No,Overall,0.896,0.0022,0.892,0.901,1,0,N/A,N/A,0.896,0.0022,0.892,0.901,203617000,32067,2387000
1 - Yes,Overall,0.104,0.0022,0.099,0.108,1,0,N/A,N/A,0.104,0.0022,0.099,0.108,23589000,5640,573000
Overall,1 - Male,0.483,0.0047,0.473,0.492,0.483,0.0047,0.473,0.492,1,0,N/A,N/A,109723000,17597,1789000
0 - No,1 - Male,0.444,0.0049,0.434,0.453,0.495,0.0052,0.485,0.506,0.919,0.0032,0.912,0.925,100811000,15581,1726000
1 - Yes,1 - Male,0.039,0.0015,0.036,0.042,0.378,0.012,0.354,0.402,0.081,0.0032,0.075,0.088,8912000,2016,360000
Overall,2 - Female,0.517,0.0047,0.508,0.527,0.517,0.0047,0.508,0.527,1,0,N/A,N/A,117483000,20110,1579000
0 - No,2 - Female,0.452,0.0048,0.443,0.462,0.505,0.0052,0.494,0.515,0.875,0.0035,0.868,0.882,102806000,16486,1458000
1 - Yes,2 - Female,0.065,0.0018,0.061,0.068,0.622,0.012,0.598,0.646,0.125,0.0035,0.118,0.132,14677000,3624,450000
